Reference,Qty,Value,Description,Footprint,MPN,Digi-Key_PN,Unit_Price_100,Tier_Essential,Tier_Insight,Tier_Signature
D1,1,SMAJ15A,"TVS diode, bidirectional, 15V 400W",SMA,SMAJ15A,SMAJ15ALFCT-ND,$0.35,YES,YES,YES
D2,1,SS34,"Schottky diode, 40V 3A, reverse polarity",SMA,SS34,SS34-E3/57TCT-ND,$0.28,YES,YES,YES
F1,1,"1.1A PTC","PTC resettable fuse, 1.1A hold / 2.2A trip",1812,MF-MSMF110/24X-2,MF-MSMF110/24X-2CT-ND,$0.42,YES,YES,YES
F2,1,"1.0A PTC","PTC resettable fuse, motor protection",0805,MF-PSMF110X-2,MF-PSMF110X-2CT-ND,$0.18,DNP,YES,YES
F3,1,"0.5A PTC","PTC resettable fuse, CO2 solenoid",0805,MF-PSMF050X-2,MF-PSMF050X-2CT-ND,$0.15,DNP,YES,YES
F4,1,"0.5A PTC","PTC resettable fuse, chiller",0805,MF-PSMF050X-2,MF-PSMF050X-2CT-ND,$0.15,DNP,DNP,YES
U1,1,TPS54302DDCR,"Buck converter, 4.5-28V in, 5V/3A out",SOT-23-6,TPS54302DDCR,296-50420-1-ND,$1.25,YES,YES,YES
L1,1,"4.7uH/4A","Power inductor, 4x4x2mm",4x4x2mm,744043004700,732-1260-1-ND,$0.48,YES,YES,YES
U2,1,AMS1117-3.3,"LDO regulator, 3.3V 800mA",SOT-223,AMS1117-3.3,AMS1117-3.3CT-ND,$0.32,YES,YES,YES
FB1,1,"600R@100MHz","Ferrite bead, 2A",1206,BLM31PG601SN1L,490-5222-1-ND,$0.12,YES,YES,YES
U12,1,TPS3823-33DBVR,"Voltage supervisor + watchdog, 3.3V threshold",SOT-23-5,TPS3823-33DBVR,296-34371-1-ND,$0.40,YES,YES,YES
SW1,1,RESET,"Manual reset button for TPS3823",SMD_TL3342,TL3342F160QG,EG2531CT-ND,$0.15,YES,YES,YES
C1,1,"100uF/25V","MLCC, input filter",1210,GRM32ER61E107ME20L,490-GRM32ER61E107ME20LCT-ND,$0.85,YES,YES,YES
C2,1,"470uF/25V","Electrolytic, bulk",Radial_D10,UCD1E471MNL1GS,493-UCD1E471MNL1GSCT-ND,$0.45,YES,YES,YES
"C3,C4",2,"22uF/25V","MLCC, buck input X5R",0805,GRM21BR61E226ME44L,490-GRM21BR61E226ME44LCT-ND,$0.28,YES,YES,YES
"C5,C6",2,"47uF/10V","MLCC, buck output X5R",0805,GRM21BR61A476ME15L,490-GRM21BR61A476ME15LCT-ND,$0.35,YES,YES,YES
C7,1,"100nF","MLCC, bootstrap X7R 50V",0402,CL05B104KO5NNNC,1276-1001-1-ND,$0.01,YES,YES,YES
C8,1,"10uF/10V","MLCC, LDO input X5R",0805,GRM21BR61A106KE19L,490-GRM21BR61A106KE19LCT-ND,$0.08,YES,YES,YES
C9,1,"22uF/10V","MLCC, LDO output X5R",0805,GRM21BR61A226ME44L,490-GRM21BR61A226ME44LCT-ND,$0.12,YES,YES,YES
C10,1,"10uF/10V Tant","Tantalum, LDO stability",1206,T491A106M010AT,399-T491A106M010ATCT-ND,$0.18,YES,YES,YES
